image_url,name,brand,description,target_description,image_url_original,description_word_count,target_word_count,description_quality_note,image_valid,image_error,image_width,image_height
"https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756523666/adias2_0_tczvjf.avif",Áo Thun Real Madrid Terrace Icons,Adidas,"Thể hiện niềm đam mê với Real Madrid qua phong cách cổ điển đặc trưng của adidas. Chiếc áo thun bóng đá này là một thiết kế cổ điển, hoàn hảo để bạn thể hiện niềm đam mê của mình trong ngày thi đấu và cả những dịp thường ngày. Logo Ba Lá được thêu trên nền vải single jersey mềm mại mang lại vẻ ngoài cổ điển đặc trưng của những năm 1980.","Thể hiện niềm đam mê với Real Madrid qua phong cách cổ điển đặc trưng của adidas. Chiếc áo thun bóng đá này là một thiết kế cổ điển, hoàn hảo để bạn thể hiện niềm đam mê của mình trong ngày thi đấu và cả những dịp thường ngày. Logo Ba Lá được thêu trên nền vải single jersey mềm mại mang lại vẻ ngoài cổ điển đặc trưng của những năm 1980.","https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756523666/adias2_0_tczvjf.avif",74,74,,True,,2000,2000
"https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756542181/zara4_0_jnebgr.jpg",ÁO SƠ MI HỌA TIẾT CÁ CHÉP,Zara,"Áo sơ mi vải rũ pha sợi viscose, dáng relaxed fit. Cổ ve nhọn khoét chữ K, cộc tay. Có một túi đáp trước ngực. Gấu xẻ hai bên. Cài phía trước bằng hàng khuy cài.","Áo sơ mi vải rũ pha sợi viscose, dáng relaxed fit. Cổ ve nhọn khoét chữ K, cộc tay. Có một túi đáp trước ngực. Gấu xẻ hai bên. Cài phía trước bằng hàng khuy cài.","https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756542181/zara4_0_jnebgr.jpg",36,36,,True,,1024,1536
"https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756542183/zara6_0_myokgt.jpg",QUẦN DÁNG WIDE FIT XẾP LI,Zara,"Quần vải pha sợi viscose, dáng wide fit. Cạp có chi tiết xếp li. Có túi hai bên và hai túi may viền phía sau. Cài phía trước bằng khóa kéo và khuy.","Quần vải pha sợi viscose, dáng wide fit. Cạp có chi tiết xếp li. Có túi hai bên và hai túi may viền phía sau. Cài phía trước bằng khóa kéo và khuy.","https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756542183/zara6_0_myokgt.jpg",33,33,,True,,1024,1536
"https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756543806/lv1_0_ahpsrw.avif",Áo Sơ Mi Da,Louis Vuitton,"Thuộc bộ sưu tập Thu-Đông 2025 do Giám đốc sáng tạo Pharrell hợp tác với nhà thiết kế Nigo, mẫu áo sơ mi da toát lên vẻ đẹp tinh tế, khẳng định kỹ nghệ chế tác bậc thầy của Maison. Chất liệu da bê mềm mại màu be với bề mặt tựa vải Linen, điểm xuyết họa tiết Monogram được in tinh tế. Các nhãn thương hiệu bằng da màu hồng và xanh lá bắt mắt như logo LV Japan trên ngực áo và chữ Vuitton cách điệu ở mặt sau hoàn thiện tổng thể trẻ trung, năng động.","Thuộc bộ sưu tập Thu-Đông 2025 do Giám đốc sáng tạo Pharrell hợp tác với nhà thiết kế Nigo, mẫu áo sơ mi da toát lên vẻ đẹp tinh tế, khẳng định kỹ nghệ chế tác bậc thầy của Maison. Chất liệu da bê mềm mại màu be với bề mặt tựa vải Linen, điểm xuyết họa tiết Monogram được in tinh tế. Các nhãn thương hiệu bằng da màu hồng và xanh lá bắt mắt như logo LV Japan trên ngực áo và chữ Vuitton cách điệu ở mặt sau hoàn thiện tổng thể trẻ trung, năng động.","https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756543806/lv1_0_ahpsrw.avif",99,99,,True,,1090,1090
"https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756543807/lv3_0_bgsxu0.avif",Áo Hoodie,Louis Vuitton,"Là mảnh ghép bắt mắt cho trang phục thường nhật, mẫu áo Hoodie đậm chất hè được may từ vải Jersey mỏng nhẹ dệt từ sợi Cotton hữu cơ. Nổi bật trên nền vải màu trắng sữa là mô típ hoa lồng ghép chữ Vuitton màu xanh dương đậm, một dấu ấn đặc trưng của bộ sưu tập Thu-Đông 2025. Dây rút mũ trùm cũng có màu xanh dương đồng điệu, kết hợp với đầu dây bằng kim loại màu vàng sẫm.","Là mảnh ghép bắt mắt cho trang phục thường nhật, mẫu áo Hoodie đậm chất hè được may từ vải Jersey mỏng nhẹ dệt từ sợi Cotton hữu cơ. Nổi bật trên nền vải màu trắng sữa là mô típ hoa lồng ghép chữ Vuitton màu xanh dương đậm, một dấu ấn đặc trưng của bộ sưu tập Thu-Đông 2025. Dây rút mũ trùm cũng có màu xanh dương đồng điệu, kết hợp với đầu dây bằng kim loại màu vàng sẫm.","https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756543807/lv3_0_bgsxu0.avif",82,82,,True,,1090,1090
"https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756545546/hm8_0_gkexgb.avif",Quần dài túi hộp Loose Fit,H&M,"Quần dài túi hộp bằng cotton dệt thoi có cạp chun bọc có dây rút, nẹp kéo khoá giả, túi chéo hai bên, túi sau có nắp cài khuy bấm và túi ống quần cài khuy bấm. Ly xếp may liền ở đầu gối và dây rút ẩn ở gấu. Dáng rộng để mặc thoải mái nhưng không bị thụng.","Quần dài túi hộp bằng cotton dệt thoi có cạp chun bọc có dây rút, nẹp kéo khoá giả, túi chéo hai bên, túi sau có nắp cài khuy bấm và túi ống quần cài khuy bấm. Ly xếp may liền ở đầu gối và dây rút ẩn ở gấu. Dáng rộng để mặc thoải mái nhưng không bị thụng.","https://res.cloudinary.com/dx8ffnhq3/image/upload/f_jpg,q_auto/v1756545546/hm8_0_gkexgb.avif",60,60,,True,,2160,3238
"https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1763974276/6d4a5cfe33b4ee1effd937614c7f2d887ad064ae_p7dd9o.avif",Giày loafer,H&M,Giày loafer có đường may da đanh và một đai có chi tiết xích kim loại ở phía trước. Lớp lót bằng cotton dệt chéo.,Giày loafer có đường may da đanh và một đai có chi tiết xích kim loại ở phía trước. Lớp lót bằng cotton dệt chéo.,"https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1763974276/6d4a5cfe33b4ee1effd937614c7f2d887ad064ae_p7dd9o.avif",25,25,,True,,2160,3240
"https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1763974651/7684c913bd54958dec55a050e8efbd625819161e_rnbvrh.avif",Boot da có chi tiết ghệt bảo hộ,H&M,"Boot làm từ da có chi tiết nhìn giống ghệt bảo hộ cài khuy bấm để bạn có thể tạo kiểu khác nhau. Ống cao ngang mắt cá có quai tròn ở mỗi bên, đế ngoài bằng cao su to dày với độ bám tốt và phần chắn bùn được may chắc chắn ở quanh mũi và gót. Lót vải lưới có đệm và đế trong bằng da có đệm mỏng. Cả khuy bấm và đế đều có logo của nhà thiết kế.","Boot làm từ da có chi tiết nhìn giống ghệt bảo hộ cài khuy bấm để bạn có thể tạo kiểu khác nhau. Ống cao ngang mắt cá có quai tròn ở mỗi bên, đế ngoài bằng cao su to dày với độ bám tốt và phần chắn bùn được may chắc chắn ở quanh mũi và gót. Lót vải lưới có đệm và đế trong bằng da có đệm mỏng. Cả khuy bấm và đế đều có logo của nhà thiết kế.","https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1763974651/7684c913bd54958dec55a050e8efbd625819161e_rnbvrh.avif",83,83,,True,,2160,3240
"https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1764038074/louis-vuitton-lv-oxford-derby--BVA00APC02_PM1_Side_view_cw9q76.avif",Giày LV Oxford Derby,Louis Vuitton,"Xuất hiện trên sàn đấu quần vợt những năm 90 dưới đôi chân của tay vợt nổi tiếng nhất thời bấy giờ, thiết kế Hot Lava đã thu hút mọi ánh nhìn trên sân đấu với phong cách táo bạo và độc đáo. Với phiên bản Vapor đặc biệt này, nó đã trở lại với cùng một phong cách đã làm nên biểu tượng, chỉ khác là hiệu suất thi đấu hiện đại như đệm Air Zoom, giúp bạn luôn sẵn sàng tấn công.","Xuất hiện trên sàn đấu quần vợt những năm 90 dưới đôi chân của tay vợt nổi tiếng nhất thời bấy giờ, thiết kế Hot Lava đã thu hút mọi ánh nhìn trên sân đấu với phong cách táo bạo và độc đáo. Với phiên bản Vapor đặc biệt này, nó đã trở lại với cùng một phong cách đã làm nên biểu tượng, chỉ khác là hiệu suất thi đấu hiện đại như đệm Air Zoom, giúp bạn luôn sẵn sàng tấn công.","https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1764038074/louis-vuitton-lv-oxford-derby--BVA00APC02_PM1_Side_view_cw9q76.avif",84,84,,True,,1090,1090
"https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1764041434/05919332800-a1_c3pzj9.jpg",THẮT LƯNG DA HIỆU ỨNG CỔ ĐIỂN,Zara,Thắt lưng làm bằng da. Đầu dây có chi tiết kim loại. Khóa cài và đai luồn dây bằng kim loại.,Thắt lưng làm bằng da. Đầu dây có chi tiết kim loại. Khóa cài và đai luồn dây bằng kim loại.,"https://res.cloudinary.com/dizp1emal/image/upload/f_jpg,q_auto/v1764041434/05919332800-a1_c3pzj9.jpg",21,21,,True,,1440,2160
